step,tag
0,phase_start,1,Walker2d-v4,80000
5035,reward,1,Walker2d-v4,-3.5934671695915648,4.431
5049,reward,1,Walker2d-v4,3.9021832205921805,4.122
5109,reward,1,Walker2d-v4,24.306273201705384,6.403
5136,reward,1,Walker2d-v4,0.0778818850116747,5.673
5171,reward,1,Walker2d-v4,13.522389293873342,6.614
5216,reward,1,Walker2d-v4,18.50738484186159,8.406
5241,reward,1,Walker2d-v4,3.5293039726540743,8.023
5259,reward,1,Walker2d-v4,1.9839621700513792,7.657
5293,reward,1,Walker2d-v4,14.412562334034385,8.499
5313,reward,1,Walker2d-v4,-9.215452280809291,6.743
5339,reward,1,Walker2d-v4,-1.8019861235264574,6.922
5352,reward,1,Walker2d-v4,-0.23182655070753144,6.509
5368,reward,1,Walker2d-v4,-1.4421065951605045,3.934
5391,reward,1,Walker2d-v4,1.9572529821377893,4.122
5412,reward,1,Walker2d-v4,-0.5040938552520686,2.72
5443,reward,1,Walker2d-v4,6.3695624056541424,1.506
5458,reward,1,Walker2d-v4,1.1679351174036718,1.27
5475,reward,1,Walker2d-v4,-7.112782080877055,0.36
5496,reward,1,Walker2d-v4,-2.4024133395373264,-1.322
5512,reward,1,Walker2d-v4,1.4936574712162716,-0.251
5533,reward,1,Walker2d-v4,3.017940614083186,0.231
5594,reward,1,Walker2d-v4,2.983326123096193,0.553
5614,reward,1,Walker2d-v4,-5.485474041373404,0.148
5632,reward,1,Walker2d-v4,8.81470006472474,0.834
5669,reward,1,Walker2d-v4,8.546641193040186,1.739
5711,reward,1,Walker2d-v4,8.292778923131339,1.932
5733,reward,1,Walker2d-v4,0.7285336105892501,1.888
5800,reward,1,Walker2d-v4,24.19827824541142,5.019
5829,reward,1,Walker2d-v4,8.632350137264718,6.122
5875,reward,1,Walker2d-v4,1.3708781403400832,6.11
5909,reward,1,Walker2d-v4,4.660786797228426,6.274
5940,reward,1,Walker2d-v4,19.96856009277356,7.973
6003,reward,1,Walker2d-v4,-11.825961725355945,7.339
6034,reward,1,Walker2d-v4,12.631746980704149,7.72
6066,reward,1,Walker2d-v4,8.997875546435303,7.766
6077,reward,1,Walker2d-v4,-0.3314546312347554,6.903
6099,reward,1,Walker2d-v4,1.0791038075297554,6.938
6107,reward,1,Walker2d-v4,-3.36536211925672,4.182
6122,reward,1,Walker2d-v4,4.028930270529676,3.722
6143,reward,1,Walker2d-v4,5.468686367921006,4.131
6170,reward,1,Walker2d-v4,-2.3506386319126324,3.43
6191,reward,1,Walker2d-v4,4.91111313002275,1.924
6212,reward,1,Walker2d-v4,-9.59398959054278,2.148
6235,reward,1,Walker2d-v4,10.534817630453414,1.938
