step,tag
0,phase_start,1,Walker2d-v4,80000
5286,reward,1,Walker2d-v4,3.5872161036502694,2.154
5310,reward,1,Walker2d-v4,-3.4628579397074986,1.781
5337,reward,1,Walker2d-v4,0.43267267871829573,1.938
5374,reward,1,Walker2d-v4,7.208042284986671,2.571
5405,reward,1,Walker2d-v4,2.052995511924907,3.013
5424,reward,1,Walker2d-v4,-1.9682626583505438,2.734
5465,reward,1,Walker2d-v4,-7.821536676335217,0.33
5484,reward,1,Walker2d-v4,-6.944960137087234,0.388
5505,reward,1,Walker2d-v4,-4.251151338603914,-1.299
5525,reward,1,Walker2d-v4,2.684406130996483,-0.848
5560,reward,1,Walker2d-v4,-8.134709024046924,-2.021
5577,reward,1,Walker2d-v4,-0.12230463653643131,-1.686
5616,reward,1,Walker2d-v4,-5.1287785361653055,-2.243
5638,reward,1,Walker2d-v4,-8.367688743383074,-3.8
5649,reward,1,Walker2d-v4,-0.3673076315504473,-4.042
5683,reward,1,Walker2d-v4,5.268303149560382,-3.319
5719,reward,1,Walker2d-v4,7.5888470833625465,-1.778
5733,reward,1,Walker2d-v4,2.500913728388235,-0.833
5755,reward,1,Walker2d-v4,-2.8571119293357476,-0.694
5764,reward,1,Walker2d-v4,-3.431796879119428,-1.305
5795,reward,1,Walker2d-v4,-3.1222332240677755,-0.804
5819,reward,1,Walker2d-v4,-7.694623748820154,-1.561
5839,reward,1,Walker2d-v4,0.45171195361845484,-1.003
5849,reward,1,Walker2d-v4,-6.070463759723097,-0.773
5865,reward,1,Walker2d-v4,-0.8859384031286024,-0.825
5898,reward,1,Walker2d-v4,-1.6606610835148947,-1.518
5914,reward,1,Walker2d-v4,-0.1995790729808471,-2.297
5935,reward,1,Walker2d-v4,-7.685728691128446,-3.316
5955,reward,1,Walker2d-v4,-5.334892989443825,-3.563
5966,reward,1,Walker2d-v4,-1.5684898590801655,-3.377
6014,reward,1,Walker2d-v4,35.177183392797495,0.453
6028,reward,1,Walker2d-v4,2.6107250637599497,1.483
6062,reward,1,Walker2d-v4,-11.576750437355557,0.281
6093,reward,1,Walker2d-v4,6.284708789186058,1.516
6103,reward,1,Walker2d-v4,-3.759493450887304,1.229
6114,reward,1,Walker2d-v4,1.778461104271672,1.573
6126,reward,1,Walker2d-v4,-0.5450036679796334,1.538
6136,reward,1,Walker2d-v4,-1.7653835740426853,2.13
6153,reward,1,Walker2d-v4,-6.579444399768006,2.006
6165,reward,1,Walker2d-v4,-4.189966107893195,1.744
6188,reward,1,Walker2d-v4,3.245410457273866,-1.45
6214,reward,1,Walker2d-v4,-2.5298065381114747,-1.964
6241,reward,1,Walker2d-v4,-3.4379178725975326,-1.15
6274,reward,1,Walker2d-v4,0.7744356355542664,-1.701
6298,reward,1,Walker2d-v4,3.057596144494164,-1.019
6310,reward,1,Walker2d-v4,-3.940852774810282,-1.591
6330,reward,1,Walker2d-v4,3.457816010656877,-1.191
6350,reward,1,Walker2d-v4,-2.3154788335146153,-1.246
6365,reward,1,Walker2d-v4,-0.45909143649658857,-0.634
6393,reward,1,Walker2d-v4,0.813016905605438,-0.133
6426,reward,1,Walker2d-v4,-3.6133757997599405,-0.819
6439,reward,1,Walker2d-v4,-4.2275074683258325,-0.989
6467,reward,1,Walker2d-v4,-13.86118360600449,-2.031
6500,reward,1,Walker2d-v4,5.85034852559284,-1.524
6529,reward,1,Walker2d-v4,4.916575290345883,-1.338
6547,reward,1,Walker2d-v4,-1.079166568907892,-1.052
6574,reward,1,Walker2d-v4,-8.726188194818409,-2.27
6585,reward,1,Walker2d-v4,-2.398434714012479,-2.279
6611,reward,1,Walker2d-v4,4.130774627026996,-1.82
6622,reward,1,Walker2d-v4,-3.051353667925732,-2.206
6640,reward,1,Walker2d-v4,-6.485813891609935,-2.493
6653,reward,1,Walker2d-v4,2.382993915845263,-1.832
6664,reward,1,Walker2d-v4,-4.030742780206078,-0.849
6697,reward,1,Walker2d-v4,2.317469305758914,-1.202
6713,reward,1,Walker2d-v4,0.27832133413372073,-1.666
6736,reward,1,Walker2d-v4,-3.9585885438853254,-1.954
6773,reward,1,Walker2d-v4,18.362487391223677,0.755
6787,reward,1,Walker2d-v4,3.694540690382662,1.364
6802,reward,1,Walker2d-v4,-4.028430665398422,0.548
6834,reward,1,Walker2d-v4,-6.234609594776844,0.23
6854,reward,1,Walker2d-v4,4.14299523652715,1.293
6879,reward,1,Walker2d-v4,10.515905452232397,2.106
6927,reward,1,Walker2d-v4,32.47946362568964,5.757
6940,reward,1,Walker2d-v4,-0.8649642331787216,5.439
6960,reward,1,Walker2d-v4,-2.489532699654121,5.162
6985,reward,1,Walker2d-v4,-14.316169902555664,4.126
7007,reward,1,Walker2d-v4,3.050912851837569,2.595
7032,reward,1,Walker2d-v4,0.3878858828344889,2.264
7048,reward,1,Walker2d-v4,-3.5577822747750485,2.311
7068,reward,1,Walker2d-v4,8.504746250052806,3.785
7097,reward,1,Walker2d-v4,-0.2971315522176696,3.341
7111,reward,1,Walker2d-v4,-2.541813355349305,2.036
7143,reward,1,Walker2d-v4,-6.663141301876643,-1.879
7175,reward,1,Walker2d-v4,12.647615981994974,-0.527
7189,reward,1,Walker2d-v4,3.5773376872905454,0.079
7217,reward,1,Walker2d-v4,-3.0832994373065894,1.203
7229,reward,1,Walker2d-v4,-2.8864187795735177,0.609
7253,reward,1,Walker2d-v4,-3.5176004709516002,0.218
7275,reward,1,Walker2d-v4,-4.8668669281502135,0.087
7290,reward,1,Walker2d-v4,-7.327954338427302,-1.496
7310,reward,1,Walker2d-v4,-0.6841971330939529,-1.535
7322,reward,1,Walker2d-v4,-0.8793286582598836,-1.368
7336,reward,1,Walker2d-v4,1.4285304177363034,-0.559
7353,reward,1,Walker2d-v4,0.5922050446457561,-1.765
7370,reward,1,Walker2d-v4,-1.6307852671227638,-2.286
7393,reward,1,Walker2d-v4,0.011325845273248758,-1.976
7408,reward,1,Walker2d-v4,-0.3408059815208122,-1.722
7419,reward,1,Walker2d-v4,-1.378186798429113,-1.508
7440,reward,1,Walker2d-v4,-2.240709359486316,-1.245
7456,reward,1,Walker2d-v4,-3.993892137559646,-0.912
7488,reward,1,Walker2d-v4,5.908501014610987,-0.252
7500,reward,1,Walker2d-v4,-1.5633293854532422,-0.321
7523,reward,1,Walker2d-v4,2.8264486970576037,-0.181
7538,reward,1,Walker2d-v4,-7.6875597792251,-1.009
7570,reward,1,Walker2d-v4,10.730519138463087,0.227
7588,reward,1,Walker2d-v4,5.922980600108,0.818
7601,reward,1,Walker2d-v4,-2.101332109749606,0.642
7621,reward,1,Walker2d-v4,2.793132916071867,1.059
7642,reward,1,Walker2d-v4,6.377311255257796,1.921
7675,reward,1,Walker2d-v4,17.062300064981937,4.027
7688,reward,1,Walker2d-v4,-0.8638172726727411,3.35
7724,reward,1,Walker2d-v4,3.2348436204859805,3.829
7780,reward,1,Walker2d-v4,10.726398170873406,4.619
7827,reward,1,Walker2d-v4,-1.5284502722794115,5.235
7848,reward,1,Walker2d-v4,3.3482998224482183,4.497
7883,reward,1,Walker2d-v4,-2.5217910786337665,3.653
7895,reward,1,Walker2d-v4,0.1622755665171275,3.879
7910,reward,1,Walker2d-v4,-2.2636184854339088,3.373
7920,reward,1,Walker2d-v4,-4.141985177880024,2.321
7936,reward,1,Walker2d-v4,-5.8381630556368425,0.031
7950,reward,1,Walker2d-v4,-1.0061779827237416,0.017
7965,reward,1,Walker2d-v4,4.104942915168741,0.104
8001,reward,1,Walker2d-v4,10.740848920598419,0.106
8012,reward,1,Walker2d-v4,-0.404494283333355,0.218
8028,reward,1,Walker2d-v4,0.2835284230795694,-0.088
8041,reward,1,Walker2d-v4,2.1925503521473395,0.383
8066,reward,1,Walker2d-v4,-10.305720817458127,-0.664
8129,reward,1,Walker2d-v4,46.158214520333004,4.178
8150,reward,1,Walker2d-v4,0.5199417435200004,4.645
8180,reward,1,Walker2d-v4,9.773698326699908,6.206
8192,loss,1,Walker2d-v4,-0.06797110289335251,0.2494695484638214,0.5020436644554138,8.503396034240723,0.10653979331254959
8210,reward,1,Walker2d-v4,9.372509829309584,7.244
8228,reward,1,Walker2d-v4,9.224046260129747,7.756
8258,reward,1,Walker2d-v4,3.3235293373848016,7.014
8281,reward,1,Walker2d-v4,-2.544067687630132,6.8
8321,reward,1,Walker2d-v4,10.602818261336907,7.832
8349,reward,1,Walker2d-v4,0.5146394835178754,7.664
8360,reward,1,Walker2d-v4,-1.1259790059125256,8.582
8404,reward,1,Walker2d-v4,-7.369637791483884,3.229
8420,reward,1,Walker2d-v4,1.2942694968468742,3.307
8447,reward,1,Walker2d-v4,9.573144075719167,3.287
8460,reward,1,Walker2d-v4,3.990141011328883,2.748
8489,reward,1,Walker2d-v4,-2.2139624936563416,1.604
8532,reward,1,Walker2d-v4,4.62130424504633,1.734
8620,reward,1,Walker2d-v4,-17.78418383249767,0.21
8648,reward,1,Walker2d-v4,7.053486354080236,-0.145
8668,reward,1,Walker2d-v4,-1.650396787388586,-0.361
8692,reward,1,Walker2d-v4,11.395706296325729,0.891
8703,reward,1,Walker2d-v4,-0.2348841023204351,1.604
8721,reward,1,Walker2d-v4,4.0458408263761925,1.88
8749,reward,1,Walker2d-v4,-9.118867803948984,0.01
8762,reward,1,Walker2d-v4,-6.587456721306884,-1.047
8785,reward,1,Walker2d-v4,-0.96097248920107,-0.922
8814,reward,1,Walker2d-v4,-3.6997568124430718,-1.754
8825,reward,1,Walker2d-v4,0.24280161626706076,0.049
