step,tag,episode,reward,avg10,algo,env,seed
5521,reward,278,0.6681305951337176,0.953,PPO,Walker2d-v4,0
5549,reward,279,-3.2266640899289243,0.223,PPO,Walker2d-v4,0
5564,reward,280,4.592380503342906,0.179,PPO,Walker2d-v4,0
5582,reward,281,-7.086220113240496,-0.194,PPO,Walker2d-v4,0
5619,reward,282,-6.583335235536515,-0.638,PPO,Walker2d-v4,0
5649,reward,283,8.393380109362381,0.108,PPO,Walker2d-v4,0
5669,reward,284,5.759901691990207,0.848,PPO,Walker2d-v4,0
5698,reward,285,1.2428127231066963,0.618,PPO,Walker2d-v4,0
5720,reward,286,-6.166311987349501,-0.565,PPO,Walker2d-v4,0
5736,reward,287,2.212504163570722,-0.019,PPO,Walker2d-v4,0
5762,reward,288,-5.470410110696447,-0.633,PPO,Walker2d-v4,0
5785,reward,289,5.149409415029855,0.204,PPO,Walker2d-v4,0
5796,reward,290,-5.8125406724785815,-0.836,PPO,Walker2d-v4,0
5807,reward,291,-0.07940945922100684,-0.135,PPO,Walker2d-v4,0
5819,reward,292,-1.8685907299258602,0.336,PPO,Walker2d-v4,0
5831,reward,293,-1.280966310963739,-0.631,PPO,Walker2d-v4,0
5857,reward,294,-0.008268744338344902,-1.208,PPO,Walker2d-v4,0
5866,reward,295,-1.1138397602100656,-1.444,PPO,Walker2d-v4,0
5886,reward,296,2.598335696380974,-0.567,PPO,Walker2d-v4,0
5902,reward,297,-2.5749202523960726,-1.046,PPO,Walker2d-v4,0
5913,reward,298,-6.1871673558564195,-1.118,PPO,Walker2d-v4,0
5933,reward,299,1.9413426712560897,-1.439,PPO,Walker2d-v4,0
5951,reward,300,-2.5346423053540033,-1.111,PPO,Walker2d-v4,0
5965,reward,301,4.431032352952312,-0.66,PPO,Walker2d-v4,0
5983,reward,302,0.44657542791322646,-0.428,PPO,Walker2d-v4,0
6003,reward,303,2.262797769603728,-0.074,PPO,Walker2d-v4,0
6032,reward,304,1.609352033847681,0.088,PPO,Walker2d-v4,0
6058,reward,305,-0.8913408796163721,0.11,PPO,Walker2d-v4,0
6082,reward,306,-2.7484963728298863,-0.425,PPO,Walker2d-v4,0
6090,reward,307,-4.8217998335849455,-0.649,PPO,Walker2d-v4,0
6118,reward,308,-2.376425211980143,-0.268,PPO,Walker2d-v4,0
6130,reward,309,3.3292849887578924,-0.129,PPO,Walker2d-v4,0
6142,reward,310,0.6964195348276977,0.194,PPO,Walker2d-v4,0
6153,reward,311,-3.7793407333199833,-0.627,PPO,Walker2d-v4,0
6164,reward,312,-3.6701606076243847,-1.039,PPO,Walker2d-v4,0
6178,reward,313,-5.060553532552826,-1.771,PPO,Walker2d-v4,0
6190,reward,314,0.9568678960732513,-1.837,PPO,Walker2d-v4,0
6212,reward,315,5.735815962860996,-1.174,PPO,Walker2d-v4,0
6230,reward,316,-3.86553690031908,-1.286,PPO,Walker2d-v4,0
6245,reward,317,4.540995235904978,-0.349,PPO,Walker2d-v4,0
6260,reward,318,5.009835457810085,0.389,PPO,Walker2d-v4,0
6273,reward,319,-3.140689118935396,-0.258,PPO,Walker2d-v4,0
6293,reward,320,3.7125011082151005,0.044,PPO,Walker2d-v4,0
6309,reward,321,3.4696990781993575,0.769,PPO,Walker2d-v4,0
6323,reward,322,-0.8568685289785742,1.05,PPO,Walker2d-v4,0
6345,reward,323,4.77670147806878,2.034,PPO,Walker2d-v4,0
6355,reward,324,-0.9221010354229642,1.846,PPO,Walker2d-v4,0
6390,reward,325,2.0603449872633512,1.478,PPO,Walker2d-v4,0
6413,reward,326,-6.516378497819208,1.213,PPO,Walker2d-v4,0
6434,reward,327,4.654328865545683,1.225,PPO,Walker2d-v4,0
6458,reward,328,14.598128363529327,2.184,PPO,Walker2d-v4,0
6470,reward,329,-1.2245167337961902,2.375,PPO,Walker2d-v4,0
6482,reward,330,0.9632311853409252,2.1,PPO,Walker2d-v4,0
6510,reward,331,4.7188821212205045,2.225,PPO,Walker2d-v4,0
6528,reward,332,-6.655896014313753,1.645,PPO,Walker2d-v4,0
6548,reward,333,-6.152042124681392,0.552,PPO,Walker2d-v4,0
6571,reward,334,-2.4729786992611835,0.397,PPO,Walker2d-v4,0
6579,reward,335,-2.28809028640884,-0.038,PPO,Walker2d-v4,0
6593,reward,336,-1.1509955316072582,0.499,PPO,Walker2d-v4,0
6607,reward,337,2.8940452774787326,0.323,PPO,Walker2d-v4,0
6625,reward,338,-5.995854672785943,-1.736,PPO,Walker2d-v4,0
6637,reward,339,-1.5517112531912245,-1.769,PPO,Walker2d-v4,0
6674,reward,340,12.984109435220589,-0.567,PPO,Walker2d-v4,0
6687,reward,341,-1.3502098395094944,-1.174,PPO,Walker2d-v4,0
6716,reward,342,-1.5893112499194353,-0.667,PPO,Walker2d-v4,0
